Nr.;County;Locality;Address (str, nr.);Latitude;Longitude
1;AB;Alba Iulia;Bloc ANL - str. Arieşului, nr. 235, bl. E 1;46,084486;23,582668
2;AB;Alba Iulia;Spitalul Judeţean de Urgenţă Alba - B-dul. Revoluţiei, nr. 2;46,071409;23,557064
3;AB;Alba Iulia;S.C. SEWS-R SRL Romania - Str. Alexandru Ioan Cuza, nr. 28b;46,094252;23,60077
4;AB;Alba Iulia;S.C. SATURN S.A. - str. Cabanei, nr. 57;46,10831;23,584033
5;AB;Alba Iulia;Sucursala CEC Alba - Bd. Vladimirescu Tudor, nr. 20;46,075027;23,580172
6;AB;Alba Iulia;Direcţia pentru Agricultură Judeţeană Alba - str. Calea Moţilor nr. 112;46,077662;23,565842
7;AB;Alba Iulia;Direcția Sanitar Veterinară Alba, - str. Lalelelor, nr. 7A;46,063687;23,563915
8;AB;Blaj;S.C. Bosch Rexroth Blaj - Blaj, str. A. Vlaicu, nr. 2;46,171641;23,934022
9;AB;Sebeș;Bloc locuinţe - Sebeş, str. Lucian Blaga, nr. 53;45,956979;23,575226
10;AB;Sebeș;S.C. Kronospan S.A. Sebeş - str. M. Kogălniceanu, nr. 59;45,971416;23,548896
11;AB;Cîmpeni;Judecătoria Cîmpeni - str. Horea, nr. 12;46,364106;23,049565
12;AB;Oiejdea;S.C. Albalact S.A. Alba - D.N. 1, km. 392+600;46,161225;23,647809
13;AB;Sălciua;Sediul Primărie Sălciua - str. Principală, nr. 62;46,398619;23,419434
14;AB;Sîntimbru;S.C. Transavia S.A. - Sediu administrativ, str. Blajului, nr. 244D;46,133885;23,636197
15;AB;Valea Lungă;Sediul Primăriei Valea Lungă - str. Victoriei, nr. 328B;46,124107;24,036588
16;AG;Pitești;Str. Carol Davila nr.1;44,869806;24,844822
17;AG;Pitești;Str. Carol Davila nr.1;44,869806;24,844822
18;AG;Pitești;B-dul Republicii nr. 148;44,851811;24,880022
19;AG;Pitești;B-dul Republicii nr. 81;44,853281;24,876483
20;AG;Pitești;Str. Rahovei;44,856186;24,869191
21;AG;Pitești;B-dul Republicii nr. 90;44,855151;24,873704
22;AG;Pitești;Cartier Banat, bl. B8, sc. B;44,846945;24,87407
23;AG;Pitești;Str. Doctor Ștefan Odobleja nr. 1, bl. C7, sc. D;44,869389;24,855439
24;AG;Pitești;Str. Doctor Ștefan Odobleja nr. 1, bl. C7, sc. B;44,869225;24,855867
25;AG;Pitești;Str. Doctor Ștefan Odobleja nr. 1, bl. C7, sc. A;44,869072;24,856089
26;AG;Pitești;Piața Vasile Milea, nr. 4;44,854986;24,876153
27;AG;Pitești;Str. A.D. Xenopol, bl. A6, sc. G;44,848133;24,872286
28;AG;Pitești;Str. A.D. Xenopol, bl. A6, sc. H;44,848133;24,872286
29;AG;Pitești;Calea Craiovei, nr. 128, bl. 38, sc. A;44,846975;24,879933
30;AG;Pitești;Str. Horia, Cloșca și Crișan, nr. 13, bl. B18, sc. C;44,836489;24,904142
31;AG;Pitești;Str. Horia, Cloșca și Crișan, nr. 17, bl. B18, sc. B;44,836133;24,904839
32;AG;Pitești;Str. Horia, Cloșca și Crișan, bl. B16, sc. C;44,836161;24,905256
33;AG;Pitești;Str. Horia, Cloșca și Crișan, bl. B17, sc. B;44,836161;24,905256
34;AG;Pitești;Str. Horia, Cloșca și Crișan, nr. 15, bl. B17, sc. C;44,836608;24,903744
35;AG;Pitești;Str. Horia, Cloșca și Crișan, nr. 13, bl. B18, sc. D;44,836589;24,904122
36;AG;Pitești;Str. Horia, Cloșca și Crișan, nr. 11, bl. B19, sc. B;44,837247;24,903608
37;AG;Pitești;Str. Horia, Cloșca și Crișan, nr. 11, bl. B19, sc. C;44,837161;24,903439
38;AG;Pitești;Str. Horia, Cloșca și Crișan, nr. 6, bl. B24, sc. D;44,837639;24,901686
39;AG;Pitești;Str. Lânăriei, nr. 2, bl. B27, sc. B;44,839364;24,900433
40;AG;Pitești;Str. Lânăriei, nr. 2, bl. B27, sc. D;44,839181;24,900281
41;AG;Pitești;Str. Lânăriei, nr. 2, bl. B27, sc. E;44,839161;24,900178
42;AG;Pitești;Str. Smârdan nr. 42-44;44,845425;24,886094
43;AG;Pitești;B-dul Republicii, nr. 149-151;44,847053;24,887744
44;AG;Pitești;Str. Armand Călinescu, nr. 44;44,854728;24,871022
45;AG;Pitești;Str. Victoriei, nr. 18;44,857942;24,871578
46;AG;Pitești;Str. Vasile Pârvan, nr. 1;44,840344;24,877556
47;AG;Pitești;Str. Vasile Pârvan, nr. 1;44,840344;24,877556
48;AG;Pitești;Str. Vasile Pârvan, nr. 1;44,840344;24,877556
49;AG;Pitești;B-dul Petrochimiştilor, nr. 23;44,830911;24,909669
50;AG;Pitești;B-dul Petrochimiştilor, nr. 22;44,826272;24,913467
51;AG;Pitești;Str. Horia, Cloșca și Crișan, nr. 8, bl. B20, sc. D;44,836443;24,903346
52;AG;Pitești;Str. Horia, Cloșca și Crișan, nr. 8, bl. B20, sc. A;44,836442;24,903342
53;AG;Pitești;B-dul Petrochimiştilor, nr. 9, bl. B28, sc. A;44,838097;24,899194
54;AG;Pitești;B-dul Petrochimiştilor, nr. 9, bl. B28, sc. B;44,838078;24,899925
55;AG;Pitești;B-dul Petrochimiştilor, bl. B22, sc. C;44,836972;24,901571
56;AG;Pitești;B-dul Petrochimiştilor, bl. B22, sc. A;44,836969;24,901569
57;AG;Pitești;B-dul Petrochimiştilor, bl. B22, sc. B;44,836967;24,900875
58;AG;Pitești;B-dul Petrochimiştilor, bl. B21, sc. D;44,836167;24,901897
59;AG;Pitești;B-dul Petrochimiştilor, bl. B21, sc. E;44,836169;24,90165
60;AG;Pitești;B-dul Petrochimiştilor, bl. B21, sc. F;44,83645;24,901719
61;AG;Pitești;Str. Banat, nr. 15, bloc B3, sc. A;44,847029;24,87081
62;AG;Pitești;Str. Banat, nr. 10, bloc B4, sc. C;44,846935;24,871437
63;AG;Pitești;Str. Banat, bloc B1, sc. A;44,846026;24,872334
64;AG;Pitești;Str. Banat, bloc B2, sc. A;44,846681;24,871489
65;AG;Pitești;Str. Banat, bloc B9, sc. B;44,847428;24,873159
66;AG;Pitești;Str. Banat, bloc B14, sc. B;44,849445;24,868141
67;AG;Pitești;Str. A.D. Xenopol, bloc A6, sc. G;44,848263;24,872612
68;AG;Pitești;Str. A.D. Xenopol, bloc A6, sc. H;44,848098;24,872389
69;AG;Pitești;Str. A.D. Xenopol, bloc A4A, sc. B;44,847846;24,872186
70;AG;Pitești;Str. A.D. Xenopol, bloc A4A, sc. A;44,848014;24,872454
71;AG;Pitești;Str. Banat, bloc 7A, sc B;44,846805;24,873594
72;AG;Pitești;Str. I.C. Brătianu, bloc A10, sc. A;44,857496;24,87786
73;AG;Pitești;Str. I.C. Brătianu, bloc A2, sc. A;44,857624;24,876704
74;AG;Pitești;Str. I.C. Brătianu, bloc A4, sc. A;44,857934;24,876905
75;AG;Pitești;Str. I.C. Brătianu, bloc A9, sc. A;44,857561;24,877773
76;AG;Pitești;Str. I.C. Brătianu, bloc A8, sc. A;44,857444;24,877506
77;AG;Pitești;Str. Transilvania, nr. 1, bloc D3, sc. F;44,850041;24,869392
78;AG;Pitești;Str. Paltinului, nr. 20, bl. D14, sc. A;44,873278;24,839381
79;AG;Pitești;Str. Paltinului, nr. 20, bl. D14, sc. C;44,873358;24,839381
80;AG;Pitești;Str. Paltinului, nr. 20, bl. D14, sc. D;44,873925;24,839396
81;AG;Pitești;Str. Paltinului, bl. A37, sc. B;44,874614;24,839031
82;AG;Pitești;Str. Paltinului, bl. A37, sc. A;44,874819;24,839336
83;AG;Pitești;Str. Alunului, nr. 27, bl. C17, sc. C;44,873767;24,840903
84;AG;Pitești;Str. Alunului, nr. 27, bl. C17, sc. A;44,873336;24,841669
85;AG;Pitești;Str. Alunului, nr. 27, bl. C17, sc. D;44,87385;24,840344
86;AG;Pitești;Str. Alunului, nr. 27, bl. C17, sc. B;44,873708;24,841086
87;AG;Pitești;Str. Alunului, nr. 52, bl. A41, sc. A;44,874611;24,840778
88;AG;Pitești;Str. Alunului, bl. 41, sc. A;44,874678;24,840817
89;AG;Pitești;Str. Alunului, nr. 54, bl. A40, sc. A;44,874847;24,839956
90;AG;Pitești;Str. Alunului, nr. 52, bl. A41, sc. B;44,874644;24,840872
91;AG;Pitești;B-dul Petrochimiştilor, nr. 18, bl. B2, sc. F;44,832889;24,907167
92;AG;Pitești;B-dul Petrochimiştilor, nr. 18, bl. B2, sc. G;44,832889;24,907167
93;AG;Pitești;B-dul Petrochimiştilor, nr. 18, bl. B2, sc. E;44,832911;24,907036
94;AG;Pitești;B-dul Petrochimiştilor, nr. 18, bl. B2, sc. D;44,833175;24,907217
95;AG;Pitești;B-dul Petrochimiştilor, nr. 18, bl. B2, sc. A;44,833358;24,906233
96;AG;Pitești;Str. Carpenului, nr. 17, bl. A41, sc. B;44,875622;24,840575
97;AG;Pitești;Str. Gârlei, nr. 3, bl. A39, sc. B;44,875181;24,839561
98;AG;Pitești;Str. Gârlei, nr. 3, bl. A39, sc. C;44,875461;24,839844
99;AG;Pitești;Str. Paltinului, nr. 20, bl. B1, sc. B;44,873367;24,840006
100;AG;Pitești;Str. Paltinului, nr. 8, bl. C15, sc. A;44,873181;24,84015
101;AG;Pitești;Str. Paltinului, nr. 10, bl. C16, sc. A;44,873311;24,840081
102;AG;Pitești;Str. Paltinului, nr. 10, bl. C16, sc. B;44,873075;24,839464
103;AG;Pitești;Str. Paltinului, nr. 8, bl. C15, sc. B;44,872847;24,840078
104;AG;Pitești;Str. Gârlei, nr. 3, bl. A39, sc. A;44,875358;24,840022
105;AG;Pitești;Str. Carpenului, nr. 17, bl. 41, sc. A;44,875661;24,840992
106;AG;Pitești;Str. Carpenului, nr. 17, bl. 41, sc. C;44,875661;24,840992
107;AG;Pitești;B-dul Petrochimiștilor, nr. 13, bl. B3, sc. B;44,834125;24,905094
108;AG;Pitești;B-dul Petrochimiștilor, nr. 13, bl. B3, sc. C;44,834106;24,905094
109;AG;Pitești;B-dul Petrochimiștilor, nr. 14, bl. B4, sc. C;44,834908;24,904342
110;AG;Pitești;B-dul Petrochimiștilor, nr. 14, bl. B4, sc. D;44,834942;24,904156
111;AG;Pitești;B-dul Petrochimiștilor, nr. 14, bl. B4, sc. E;44,835108;24,903981
112;AG;Pitești;B-dul Petrochimiștilor, nr. 11, bl. B23, sc. A;44,837453;24,900731
113;AG;Pitești;B-dul Petrochimiștilor, nr. 11, bl. B23, sc. C;44,837622;24,900042
114;AG;Pitești;B-dul Petrochimiștilor, nr. 11, bl. B23, sc. B;44,837478;24,901292
115;AG;Pitești;Str. I.C. Brătianu, nr. 48-52;44,860278;24,870833
116;AG;Pitești;Str. I.C. Brătianu, nr. 48-52;44,860278;24,870833
117;AG;Pitești;Str. Victoriei, nr. 12;44,855833;24,873611
118;AG;Pitești;Calea București, nr. 36;44,865556;24,884622
119;AG;Pitești;Calea București, nr. 31;44,864167;24,877222
120;AG;Pitești;Piața Muntenia, nr. 1;44,856667;24,872222
121;AG;Pitești;Calea Craiovei, nr. 160;44,838102;24,882881
122;AG;Pitești;Str. Dobrogeanu Gherea, nr. 1;44,883056;24,831944
123;AG;Pitești;Str. Dobrogeanu Gherea, nr. 2-4;44,885278;24,836667
124;AG;Moșoaia;Comuna Moșoaia nr. 2, bloc MS2- sc. D;44,843806;24,855164
125;AG;Moșoaia;Comuna Moșoaia nr. 2, bloc MS2- sc. D;44,843806;24,855164
126;AG;Moșoaia;Comuna Moșoaia nr. 2, bloc MS2- sc. D;44,843806;24,855164
127;AG;Moșoaia;Comuna Moșoaia nr. 2, bloc MS2- sc. D;44,843806;24,855164
128;AG;Bradu;Dn. 65B, km 3+250m;44,816516;24,940229
129;AG;Bradu;Sat Geamăna, zona Comercială nr. 16;44,824567;24,905778
130;AG;Bradu;Str. Petrochimiștilor nr. 1;44,809975;24,937214
131;AG;Bradu;Str. Petrochimiștilor, nr. 3;44,815506;24,921467
132;AG;Oarja;Str.Primăriei, nr. 459;44,755329;24,975148
133;AG;Suseni;Str. Principală, nr. 301;44,710556;24,948056
